Order ID,Order Date,Order Priority,Order Quantity,Sales,Ship Mode,Shipping Cost,Province,Customer Segment,Product Category,Product Sub-Category,Product Container,Ship Date
20899,4/12/2010,Low,9,495.1,Regular Air,10.75,Ontario,Home Office,Office Supplies,Paper,Small Box,4/21/2010
610,8/1/2011,Critical,38,283.65,Express Air,5.41,Manitoba,Home Office,Office Supplies,Paper,Small Box,8/3/2011
17283,9/14/2011,Not Specified,4,5472.12,Delivery Truck,14.7,Northwest Territories,Home Office,Technology,Office Machines,Jumbo Drum,9/15/2011
13351,5/6/2010,Medium,20,3331.81,Regular Air,19.99,Ontario,Corporate,Technology,Computer Peripherals,Small Box,5/7/2010
27681,11/24/2010,Medium,7,37.8,Regular Air,4.7,Ontario,Home Office,Office Supplies,Paper,Small Box,11/25/2010
28161,6/15/2009,Not Specified,41,1085.61,Regular Air,4,Quebec,Consumer,Technology,Computer Peripherals,Small Box,6/17/2009
42758,11/10/2012,Critical,12,1769.74,Regular Air,4,Quebec,Home Office,Technology,Computer Peripherals,Small Box,11/12/2012
36934,12/22/2009,Medium,45,6668.856,Delivery Truck,29.21,Alberta,Small Business,Furniture,Tables,Jumbo Box,12/23/2009
42631,5/9/2009,High,41,257.66,Regular Air,2.74,Saskachewan,Corporate,Technology,Computer Peripherals,Small Pack,5/9/2009
9088,6/22/2009,Critical,31,1637.457,Regular Air,8.99,Ontario,Home Office,Technology,Telephones and Communication,Small Box,6/24/2009
25569,7/9/2012,High,27,311.21,Regular Air,6.47,Ontario,Small Business,Office Supplies,Paper,Small Box,7/11/2012
24644,7/28/2009,Critical,46,5897.47,Delivery Truck,70.2,Nova Scotia,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,7/29/2009
39364,11/9/2012,High,29,2754.93,Regular Air,39.61,Northwest Territories,Corporate,Furniture,Office Furnishings,Medium Box,11/10/2012
51648,1/1/2012,Low,45,2354.8,Regular Air,19.99,British Columbia,Corporate,Technology,Computer Peripherals,Small Box,1/8/2012
3,10/13/2010,Low,6,261.54,Regular Air,35,Nunavut,Small Business,Office Supplies,Storage & Organization,Large Box,10/20/2010
51361,3/18/2011,Critical,50,18056.68,Delivery Truck,60,Ontario,Corporate,Furniture,Tables,Jumbo Drum,3/22/2011
27460,5/12/2009,Not Specified,31,196.58,Regular Air,4.38,Manitoba,Corporate,Technology,Computer Peripherals,Small Pack,5/14/2009
38529,2/2/2009,Low,38,44.85,Regular Air,0.7,Alberta,Corporate,Office Supplies,Rubber Bands,Wrap Bag,2/2/2009
36934,12/22/2009,Medium,7,1120.86,Express Air,13.99,Alberta,Small Business,Technology,Office Machines,Medium Box,12/24/2009
17666,9/8/2010,Medium,11,141.07,Regular Air,3.14,Saskachewan,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,9/8/2010
28001,6/14/2009,Critical,21,4201.08,Regular Air,11.54,Quebec,Home Office,Furniture,Office Furnishings,Large Box,6/16/2009
41636,8/14/2009,Critical,25,423.15,Regular Air,7.78,Saskachewan,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,8/16/2009
25797,9/1/2012,Not Specified,28,925.43,Regular Air,1.99,Yukon,Corporate,Technology,Computer Peripherals,Small Pack,9/3/2012
56291,9/17/2012,Not Specified,25,377.37,Regular Air,1.97,Quebec,Corporate,Office Supplies,Paper,Wrap Bag,9/17/2012
14401,8/4/2011,Not Specified,10,931.1495,Regular Air,2.5,Quebec,Small Business,Technology,Telephones and Communication,Small Box,8/6/2011
43298,7/10/2011,Not Specified,15,109.2,Regular Air,7.37,Alberta,Consumer,Office Supplies,Paper,Small Box,7/12/2011
56931,2/3/2010,High,34,232.4155,Regular Air,5.03,Quebec,Small Business,Technology,Telephones and Communication,Medium Box,2/5/2010
33220,4/15/2009,Not Specified,40,736.96,Regular Air,10.49,Saskachewan,Consumer,Furniture,Office Furnishings,Small Box,4/18/2009
13633,4/3/2012,Not Specified,39,1538.17,Regular Air,35,Ontario,Corporate,Office Supplies,Storage & Organization,Large Box,4/4/2012
13889,9/4/2011,Medium,49,12979.1,Delivery Truck,54.31,British Columbia,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,9/5/2011
47942,2/27/2010,Medium,30,17034.92,Regular Air,24.49,Saskachewan,Corporate,Technology,Copiers and Fax,Large Box,3/1/2010
37891,10/20/2011,High,4,1135.64,Delivery Truck,66.67,Ontario,Small Business,Furniture,Tables,Jumbo Box,10/20/2011
3172,6/2/2012,Not Specified,33,584.511,Regular Air,3.3,Alberta,Consumer,Technology,Telephones and Communication,Small Pack,6/4/2012
13540,5/23/2010,High,33,121,Regular Air,0.5,Quebec,Consumer,Office Supplies,Labels,Small Box,5/25/2010
24804,5/27/2011,Not Specified,20,211.42,Regular Air,9.45,Alberta,Home Office,Office Supplies,Storage & Organization,Small Box,5/29/2011
35684,8/3/2011,Low,10,910.98,Regular Air,13.99,Alberta,Corporate,Technology,Office Machines,Medium Box,8/8/2011
1217,4/25/2012,Not Specified,25,662.16,Regular Air,1.99,Saskachewan,Corporate,Technology,Computer Peripherals,Small Pack,4/26/2012
29350,8/25/2009,High,47,2519.55,Regular Air,16.11,Quebec,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,8/27/2009
57600,11/11/2012,Critical,32,1882.12,Regular Air,10.29,Northwest Territories,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,11/13/2012
39908,5/10/2009,Low,23,753.75,Regular Air,7.73,Saskachewan,Home Office,Office Supplies,Pens & Art Supplies,Small Box,5/12/2009
16834,10/23/2010,Low,33,463.42,Regular Air,7.17,Manitoba,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,10/25/2010
35430,3/25/2010,Low,31,1655.3665,Regular Air,8.99,Ontario,Home Office,Technology,Telephones and Communication,Small Box,3/27/2010
11941,6/24/2010,Critical,4,73.07,Regular Air,11.25,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Small Box,6/25/2010
12736,3/8/2010,Low,2,25.52,Regular Air,6.22,Ontario,Small Business,Furniture,Office Furnishings,Small Box,3/15/2010
58053,1/8/2010,Medium,42,287.75,Regular Air,7.3,Saskachewan,Home Office,Office Supplies,Paper,Small Box,1/10/2010
13765,4/5/2009,Not Specified,45,1553.38,Regular Air,13.89,Manitoba,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,4/7/2009
19559,4/15/2010,High,14,1032.0275,Express Air,0.99,Alberta,Small Business,Technology,Telephones and Communication,Wrap Bag,4/18/2010
58598,8/22/2011,Medium,50,13608.83,Delivery Truck,64.73,Ontario,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,8/23/2011
55299,3/30/2012,Low,20,22.28,Regular Air,0.7,Yukon,Corporate,Office Supplies,Rubber Bands,Wrap Bag,3/30/2012
54245,3/24/2011,Medium,5,83.3,Regular Air,2.5,Ontario,Corporate,Technology,Telephones and Communication,Wrap Bag,3/25/2011
8006,6/3/2011,Medium,27,197.15,Express Air,5.2,Ontario,Consumer,Office Supplies,Paper,Small Box,6/5/2011
31781,1/16/2009,Medium,46,249.02,Regular Air,8.49,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,1/17/2009
1831,12/1/2010,Critical,33,12586.19,Delivery Truck,99,Ontario,Home Office,Office Supplies,Storage & Organization,Jumbo Drum,12/2/2010
42115,2/18/2012,Critical,21,673.92,Regular Air,1.99,Yukon,Home Office,Technology,Computer Peripherals,Small Pack,2/18/2012
43138,3/14/2012,Low,43,1334.05,Regular Air,2.99,Saskachewan,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,3/18/2012
4800,1/5/2012,Low,7,79.81,Regular Air,2.36,Quebec,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,1/10/2012
12007,9/27/2009,Not Specified,42,152.26,Regular Air,0.5,Yukon,Corporate,Office Supplies,Labels,Small Box,9/29/2009
5607,12/31/2011,Not Specified,8,61.8715,Regular Air,5.03,Nunavut,Home Office,Technology,Telephones and Communication,Medium Box,1/3/2012
35461,6/1/2009,Critical,30,112.6,Regular Air,1.32,Manitoba,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,6/2/2009
11969,1/19/2012,Not Specified,42,11460.76,Delivery Truck,60,Nova Scotia,Consumer,Furniture,Tables,Jumbo Drum,1/21/2012
16802,4/20/2011,Medium,44,302.59,Express Air,6.93,New Brunswick,Home Office,Office Supplies,Paper,Small Box,4/21/2011
43653,10/30/2012,High,3,10.62,Regular Air,1.35,Saskachewan,Small Business,Office Supplies,Rubber Bands,Wrap Bag,10/30/2012
18592,9/30/2012,Critical,2,25.72,Regular Air,3.37,Manitoba,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,10/1/2012
21799,4/19/2011,Not Specified,42,115.99,Express Air,2.4,New Brunswick,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,4/20/2011
48198,11/20/2009,Critical,7,2813.34,Delivery Truck,14.7,Ontario,Home Office,Technology,Office Machines,Jumbo Drum,11/21/2009
32199,7/15/2009,High,8,46.97,Regular Air,1.2,Prince Edward Island,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,7/17/2009
18533,11/6/2009,Not Specified,5,53.737,Express Air,5.03,Ontario,Home Office,Technology,Telephones and Communication,Medium Box,11/8/2009
1154,2/14/2012,Critical,44,4462.23,Delivery Truck,26.22,Nunavut,Home Office,Furniture,Bookcases,Jumbo Box,2/16/2012
42947,8/26/2010,Low,5,177.05,Regular Air,1.99,British Columbia,Home Office,Technology,Computer Peripherals,Small Pack,8/28/2010
5957,12/26/2010,High,3,536.38,Delivery Truck,66.27,New Brunswick,Small Business,Furniture,Bookcases,Jumbo Box,12/28/2010
45248,4/16/2011,Medium,38,154.85,Regular Air,5.13,Manitoba,Corporate,Office Supplies,Appliances,Small Box,4/18/2011
51365,8/7/2012,High,35,4051.8,Delivery Truck,51.94,Manitoba,Corporate,Furniture,Tables,Jumbo Box,8/8/2012
11943,4/7/2010,Low,19,1270.73,Delivery Truck,30,Alberta,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,4/9/2010
59204,2/29/2012,Medium,7,251.59,Regular Air,5.08,British Columbia,Home Office,Office Supplies,Paper,Wrap Bag,3/1/2012
55554,11/16/2009,Critical,49,150.06,Regular Air,0.7,British Columbia,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,11/19/2009
54950,12/5/2010,High,22,8789.54,Delivery Truck,110.2,Ontario,Consumer,Furniture,Tables,Jumbo Box,12/6/2010
59909,8/5/2012,Low,11,1255.48,Delivery Truck,56.14,Ontario,Small Business,Technology,Office Machines,Jumbo Drum,8/7/2012
53314,9/19/2010,High,15,2236.15,Delivery Truck,51.92,Ontario,Home Office,Furniture,Tables,Jumbo Box,9/21/2010
3654,6/2/2012,Low,39,7338.79,Regular Air,13.99,Nova Scotia,Corporate,Technology,Office Machines,Medium Box,6/7/2012
34918,10/23/2009,Medium,25,200.77,Regular Air,7.98,Ontario,Corporate,Furniture,Office Furnishings,Wrap Bag,10/25/2009
47171,1/7/2010,Medium,19,50.07,Regular Air,0.86,Ontario,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,1/8/2010
31456,11/15/2012,High,10,225.09,Regular Air,2.99,Ontario,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,11/17/2012
12642,4/27/2009,Critical,10,564.85,Express Air,1.49,Saskachewan,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,4/29/2009
57633,2/6/2011,High,12,351.12,Express Air,3.92,British Columbia,Corporate,Furniture,Office Furnishings,Small Pack,2/7/2011
57734,9/16/2009,High,26,110.14,Regular Air,5.41,British Columbia,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,9/18/2009
34596,8/31/2011,Critical,39,302.09,Regular Air,6.16,New Brunswick,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,9/1/2011
51783,11/11/2011,Medium,10,1875.18,Delivery Truck,29.21,Nova Scotia,Consumer,Furniture,Tables,Jumbo Box,11/13/2011
39585,12/29/2011,Not Specified,32,166.17,Regular Air,3.63,Alberta,Corporate,Furniture,Office Furnishings,Wrap Bag,12/30/2011
17252,4/29/2011,Not Specified,49,11365.616,Delivery Truck,54.12,Ontario,Consumer,Furniture,Tables,Jumbo Box,5/1/2011
15329,4/27/2012,High,34,1014.87,Express Air,1.99,British Columbia,Consumer,Technology,Computer Peripherals,Small Pack,4/27/2012
23911,6/1/2012,Critical,21,2580.67,Delivery Truck,70.2,Alberta,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,6/2/2012
50882,8/31/2010,High,37,366.84,Regular Air,4.68,Alberta,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,8/31/2010
32706,7/4/2009,Critical,5,2017.5,Delivery Truck,12.06,British Columbia,Home Office,Technology,Office Machines,Jumbo Box,7/6/2009
14851,5/11/2012,Not Specified,26,1443.266,Regular Air,8.99,Yukon,Corporate,Technology,Telephones and Communication,Small Box,5/13/2012
53312,7/4/2009,Medium,23,8413.23,Regular Air,19.99,Ontario,Home Office,Office Supplies,Appliances,Small Box,7/6/2009
59044,7/20/2011,Critical,6,20.19,Regular Air,0.99,Manitoba,Small Business,Office Supplies,Labels,Small Box,7/22/2011
50626,10/20/2009,Medium,42,26126.92,Regular Air,24.49,New Brunswick,Consumer,Technology,Copiers and Fax,Large Box,10/22/2009
30848,5/1/2011,Medium,13,4324.29,Delivery Truck,40.19,Yukon,Corporate,Furniture,Tables,Jumbo Box,5/3/2011
43109,12/21/2012,Critical,10,97.02,Regular Air,1.99,Northwest Territories,Corporate,Technology,Computer Peripherals,Small Pack,12/22/2012
31878,12/18/2011,Medium,42,5678.5525,Regular Air,8.99,Alberta,Home Office,Technology,Telephones and Communication,Small Box,12/19/2011
42631,5/9/2009,High,22,1148.0355,Express Air,8.99,Saskachewan,Corporate,Technology,Telephones and Communication,Small Box,5/11/2009
34470,2/1/2012,Critical,31,2966.13,Delivery Truck,57.38,Quebec,Home Office,Furniture,Bookcases,Jumbo Box,2/2/2012
34976,11/24/2012,Medium,29,168.2,Regular Air,5.46,Alberta,Home Office,Office Supplies,Paper,Small Box,11/25/2012
9124,10/16/2011,Low,17,2637.78,Regular Air,6.5,Manitoba,Small Business,Technology,Computer Peripherals,Small Box,10/16/2011
34215,5/14/2011,High,6,35.65,Regular Air,2.99,Northwest Territories,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,5/15/2011
31558,7/23/2011,Low,12,3671.3,Regular Air,24.49,Northwest Territories,Home Office,Office Supplies,Appliances,Large Box,7/28/2011
59425,5/17/2012,Medium,46,1714.02,Regular Air,5.08,British Columbia,Home Office,Office Supplies,Paper,Wrap Bag,5/20/2012
47846,8/11/2012,High,25,2674.18,Regular Air,13.99,Prince Edward Island,Corporate,Furniture,Office Furnishings,Medium Box,8/13/2012
39168,5/17/2012,High,30,301.38,Regular Air,2.89,Ontario,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,5/19/2012
18753,7/31/2009,Medium,31,3945.95,Regular Air,12.65,Ontario,Corporate,Furniture,Chairs & Chairmats,Medium Box,8/2/2009
17287,4/5/2011,High,26,4361.6985,Regular Air,4.2,Alberta,Home Office,Technology,Telephones and Communication,Small Box,4/7/2011
48641,12/5/2011,High,13,66.83,Regular Air,0.8,British Columbia,Small Business,Office Supplies,Paper,Wrap Bag,12/6/2011
21766,6/1/2009,High,41,5178.17,Delivery Truck,30,Nova Scotia,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,6/3/2009
25666,9/2/2012,Critical,23,260.08,Regular Air,4.81,Ontario,Consumer,Office Supplies,Storage & Organization,Small Box,9/2/2012
50786,10/12/2009,Low,4,487.72,Delivery Truck,14,Yukon,Consumer,Technology,Office Machines,Jumbo Drum,10/19/2009
59393,11/20/2010,Medium,34,398.76,Regular Air,6.97,British Columbia,Home Office,Office Supplies,Envelopes,Small Box,11/21/2010
20322,6/28/2009,Critical,15,89.89,Regular Air,7.96,British Columbia,Home Office,Office Supplies,Paper,Small Box,6/28/2009
8132,5/14/2009,Low,45,294.86,Regular Air,6.92,Yukon,Home Office,Office Supplies,Paper,Small Box,5/21/2009
12707,5/29/2010,High,20,2213.92,Regular Air,13.99,Alberta,Small Business,Furniture,Office Furnishings,Medium Box,5/31/2010
54180,10/22/2012,Critical,43,913.99,Regular Air,8.99,British Columbia,Consumer,Office Supplies,Pens & Art Supplies,Small Pack,10/24/2012
9409,5/5/2012,Critical,12,1712.66,Regular Air,4,British Columbia,Home Office,Technology,Computer Peripherals,Small Box,5/7/2012
32803,12/16/2011,Medium,49,371.95,Express Air,4.71,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,12/17/2011
3585,11/22/2009,High,34,54.69,Regular Air,1.57,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,11/23/2009
23778,7/13/2009,Low,13,105.94,Regular Air,49,Yukon,Corporate,Office Supplies,Appliances,Large Box,7/17/2009
4069,5/12/2012,Medium,30,78.46,Regular Air,0.8,Alberta,Consumer,Office Supplies,Rubber Bands,Wrap Bag,5/15/2012
53285,5/24/2012,Critical,6,1042.96,Regular Air,19.99,Ontario,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,5/26/2012
16065,7/20/2010,High,14,54.99,Regular Air,1.3,Ontario,Corporate,Office Supplies,Paper,Wrap Bag,7/21/2010
32613,12/16/2011,Low,41,7174.9435,Express Air,3.99,Quebec,Consumer,Technology,Telephones and Communication,Small Box,12/18/2011
52391,12/12/2009,High,39,857.84,Regular Air,11.52,Ontario,Corporate,Office Supplies,Storage & Organization,Small Box,12/14/2009
44486,7/9/2012,Critical,36,198.1,Regular Air,4.96,Alberta,Small Business,Office Supplies,Paper,Small Box,7/12/2012
27298,11/19/2011,Low,31,164.92,Regular Air,4.86,British Columbia,Small Business,Office Supplies,Paper,Small Box,11/24/2011
3907,8/18/2012,Medium,34,729.83,Regular Air,15.1,British Columbia,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,8/20/2012
58690,11/5/2011,High,14,3023.73,Delivery Truck,69.64,Ontario,Small Business,Furniture,Tables,Jumbo Box,11/6/2011
41831,7/21/2012,Not Specified,43,3441.09,Delivery Truck,30.06,British Columbia,Corporate,Technology,Office Machines,Jumbo Box,7/23/2012
28130,7/30/2009,Low,32,1381.88,Express Air,6.77,Ontario,Corporate,Furniture,Office Furnishings,Small Box,7/30/2009
46533,10/7/2009,High,12,654.874,Express Air,3.99,Alberta,Small Business,Technology,Telephones and Communication,Small Box,10/9/2009
23174,7/26/2012,Low,8,138.24,Regular Air,7.04,Ontario,Consumer,Office Supplies,Storage & Organization,Small Box,8/2/2012
35878,8/13/2010,Medium,11,485.46,Regular Air,17.48,Ontario,Corporate,Office Supplies,Paper,Small Box,8/14/2010
26469,7/30/2012,Medium,50,350.01,Regular Air,6.93,Ontario,Home Office,Office Supplies,Paper,Small Box,7/31/2012
35910,11/24/2010,High,25,161.72,Regular Air,8.4,Saskachewan,Corporate,Office Supplies,Paper,Small Box,11/26/2010
53412,9/15/2009,Critical,45,2544.73,Regular Air,11.1,Manitoba,Small Business,Furniture,Office Furnishings,Medium Box,9/16/2009
56260,8/15/2009,Not Specified,34,223.76,Regular Air,7.91,Quebec,Corporate,Office Supplies,Paper,Small Box,8/16/2009
8546,4/1/2012,High,4,51.94,Express Air,1.99,New Brunswick,Small Business,Technology,Computer Peripherals,Small Pack,4/3/2012
38341,5/18/2009,Medium,38,623.1265,Regular Air,0.99,Nova Scotia,Corporate,Technology,Telephones and Communication,Wrap Bag,5/18/2009
50306,5/20/2011,Medium,34,2010.89,Regular Air,11.55,Ontario,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,5/22/2011
16804,3/10/2012,High,46,2430.34,Regular Air,13.88,Ontario,Consumer,Office Supplies,Paper,Small Box,3/12/2012
36838,4/8/2009,Low,3,32.76,Express Air,0.5,Manitoba,Corporate,Office Supplies,Labels,Small Box,4/17/2009
13730,5/9/2011,High,26,3617.64,Delivery Truck,43.75,Quebec,Corporate,Furniture,Tables,Jumbo Box,5/11/2011
47520,10/7/2009,Not Specified,36,277.88,Regular Air,6.16,Nova Scotia,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,10/9/2009
55360,1/22/2009,Medium,49,134.83,Regular Air,0.5,Manitoba,Small Business,Office Supplies,Labels,Small Box,1/24/2009
7461,1/12/2009,Low,12,4080.3,Delivery Truck,39,British Columbia,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,1/14/2009
46979,7/16/2012,Low,30,8718.46,Delivery Truck,26.53,Saskachewan,Consumer,Technology,Office Machines,Jumbo Drum,7/18/2012
26881,8/1/2009,Low,26,10692.97,Delivery Truck,110.2,Alberta,Small Business,Furniture,Tables,Jumbo Box,8/5/2009
21988,3/28/2010,Medium,4,1337.19,Delivery Truck,91.05,Yukon,Corporate,Office Supplies,Appliances,Jumbo Drum,3/30/2010
56967,3/2/2012,Low,17,1383.9,Express Air,6.13,Ontario,Home Office,Technology,Computer Peripherals,Small Box,3/9/2012
46368,4/24/2012,High,48,166.13,Regular Air,3.97,Quebec,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,4/26/2012
8388,2/23/2012,Low,39,290.3,Regular Air,4,Ontario,Home Office,Furniture,Office Furnishings,Wrap Bag,2/25/2012
21319,4/29/2010,Medium,42,1060.34,Delivery Truck,15.68,Nova Scotia,Consumer,Furniture,Office Furnishings,Jumbo Drum,4/30/2010
59238,9/19/2009,High,11,455.88,Express Air,8.99,Saskachewan,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,9/20/2009
29507,2/9/2012,Low,14,3049.632,Delivery Truck,35.67,Ontario,Consumer,Furniture,Tables,Jumbo Box,2/11/2012
31812,7/31/2011,High,31,38.52,Regular Air,0.7,Ontario,Small Business,Office Supplies,Rubber Bands,Wrap Bag,8/2/2011
58851,6/7/2010,Low,3,23.93,Regular Air,0.96,Ontario,Corporate,Furniture,Office Furnishings,Wrap Bag,6/11/2010
14823,2/12/2009,Low,15,103.62,Regular Air,0.49,Ontario,Small Business,Office Supplies,Labels,Small Box,2/21/2009
21665,10/15/2012,High,5,474.793,Express Air,2.5,Ontario,Home Office,Technology,Telephones and Communication,Small Box,10/16/2012
34631,10/23/2009,Not Specified,19,12616.2,Regular Air,24.49,Northwest Territories,Corporate,Technology,Copiers and Fax,Large Box,10/25/2009
46977,5/7/2012,Medium,19,2980.372,Regular Air,8.99,Ontario,Consumer,Technology,Telephones and Communication,Small Box,5/9/2012
10342,11/22/2011,Medium,38,1679.04,Regular Air,14.45,Ontario,Consumer,Furniture,Office Furnishings,Large Box,11/24/2011
8450,4/13/2012,Not Specified,24,1307,Regular Air,0.99,Saskachewan,Home Office,Office Supplies,Appliances,Small Box,4/15/2012
8803,12/20/2012,Not Specified,17,514.22,Regular Air,2.99,Saskachewan,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,12/23/2012
55331,12/13/2010,High,13,50.35,Regular Air,2.5,Manitoba,Small Business,Office Supplies,Envelopes,Small Box,12/15/2010
36356,12/25/2011,Medium,33,117.77,Regular Air,0.5,British Columbia,Consumer,Office Supplies,Labels,Small Box,12/27/2011
7079,2/8/2010,Medium,44,12296.49,Delivery Truck,57,Quebec,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,2/9/2010
55750,8/27/2010,Critical,31,5445.992,Delivery Truck,69.64,Saskachewan,Small Business,Furniture,Tables,Jumbo Box,8/29/2010
